Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Datetime,,,,,
2025-05-08 15:37:00+0000,41515.73828125,41521.5703125,41511.94921875,41519.4609375,759482
2025-05-08 15:38:00+0000,41500.9296875,41520.9609375,41498.8984375,41516.2109375,858128
2025-05-08 15:39:00+0000,41554.73828125,41554.73828125,41501.140625,41501.140625,1270099
2025-05-08 15:40:00+0000,41587.6796875,41599.7109375,41555.53125,41555.53125,1827280
2025-05-08 15:41:00+0000,41636.71875,41637.109375,41587.71875,41587.71875,1866190
2025-05-08 15:42:00+0000,41657.8515625,41677.01171875,41636.5390625,41636.5390625,2553639
2025-05-08 15:43:00+0000,41684.26953125,41688.8203125,41640.140625,41658.87890625,1874039
2025-05-08 15:44:00+0000,41679.87109375,41689.0,41679.87109375,41686.33984375,1298582
2025-05-08 15:45:00+0000,41681.94140625,41698.6015625,41669.78125,41680.01171875,1701287
2025-05-08 15:46:00+0000,41678.4296875,41701.01953125,41672.1484375,41680.58984375,1434816
2025-05-08 15:47:00+0000,41676.078125,41679.53125,41664.23828125,41676.828125,1349502
2025-05-08 15:48:00+0000,41690.53125,41704.078125,41676.1796875,41676.1796875,1258998
2025-05-08 15:49:00+0000,41695.26171875,41696.94140625,41686.05859375,41691.8203125,1249797
2025-05-08 15:50:00+0000,41695.26171875,41703.421875,41685.55078125,41695.578125,1422084
2025-05-08 15:51:00+0000,41659.8515625,41694.6796875,41656.5390625,41694.6796875,1660617
2025-05-08 15:52:00+0000,41634.1796875,41659.08984375,41633.87890625,41659.01953125,1295668
2025-05-08 15:53:00+0000,41659.03125,41659.03125,41633.12109375,41633.62109375,1127617
2025-05-08 15:54:00+0000,41672.23046875,41672.390625,41655.96875,41659.01953125,1031362
2025-05-08 15:55:00+0000,41645.0,41672.76953125,41623.55859375,41671.4609375,1096445
2025-05-08 15:56:00+0000,41649.21875,41649.21875,41626.890625,41645.4609375,1102991
2025-05-08 15:57:00+0000,41647.7890625,41655.62109375,41646.76953125,41650.83984375,812402
2025-05-08 15:58:00+0000,41645.91015625,41650.78125,41642.0,41647.3984375,683915
2025-05-08 15:59:00+0000,41648.62890625,41656.46875,41638.26171875,41645.8984375,884791
2025-05-08 16:00:00+0000,41669.44921875,41669.73046875,41644.55078125,41647.01171875,829699
2025-05-08 16:01:00+0000,41680.16015625,41685.51953125,41669.69140625,41669.87109375,844584
2025-05-08 16:02:00+0000,41678.890625,41680.75,41670.6796875,41680.75,817353
2025-05-08 16:03:00+0000,41670.44140625,41678.58984375,41656.890625,41678.58984375,748179
2025-05-08 16:04:00+0000,41673.19140625,41683.23046875,41670.55859375,41670.55859375,709293
2025-05-08 16:05:00+0000,41675.3984375,41675.98046875,41667.2109375,41673.21875,706369
2025-05-08 16:06:00+0000,41671.1484375,41676.37109375,41668.51953125,41675.28125,918336
2025-05-08 16:07:00+0000,41677.2890625,41682.51953125,41671.23046875,41671.23046875,838154
2025-05-08 16:08:00+0000,41671.23046875,41679.21875,41667.53125,41678.41015625,871209
2025-05-08 16:09:00+0000,41687.01171875,41687.01171875,41669.140625,41671.421875,902416
2025-05-08 16:10:00+0000,41677.12890625,41693.78125,41676.26953125,41688.23828125,1198840
2025-05-08 16:11:00+0000,41656.1484375,41678.3515625,41655.87109375,41677.19921875,792944
2025-05-08 16:12:00+0000,41688.03125,41689.46875,41651.578125,41656.12109375,1042874
2025-05-08 16:13:00+0000,41690.4609375,41691.5703125,41677.078125,41687.9609375,747125
2025-05-08 16:14:00+0000,41691.109375,41694.73046875,41686.7109375,41689.19140625,629301
2025-05-08 16:15:00+0000,41696.609375,41696.8984375,41688.609375,41690.48828125,861179
2025-05-08 16:16:00+0000,41712.91015625,41723.5390625,41695.91015625,41697.19140625,1546398
2025-05-08 16:17:00+0000,41707.609375,41714.30078125,41704.98828125,41712.328125,1010435
2025-05-08 16:18:00+0000,41711.1484375,41716.140625,41706.578125,41706.578125,802516
2025-05-08 16:19:00+0000,41711.421875,41713.28125,41708.671875,41712.05859375,805486
2025-05-08 16:20:00+0000,41717.26953125,41730.140625,41711.3984375,41711.3984375,1012698
2025-05-08 16:21:00+0000,41701.30078125,41717.390625,41701.30078125,41717.390625,936754
2025-05-08 16:22:00+0000,41694.8203125,41702.7109375,41692.80078125,41700.8984375,900254
2025-05-08 16:23:00+0000,41697.5,41703.6484375,41688.69921875,41695.55078125,882322
2025-05-08 16:24:00+0000,41697.73828125,41698.62109375,41691.98828125,41696.390625,696545
2025-05-08 16:25:00+0000,41697.44140625,41699.03125,41690.94140625,41698.01171875,668974
2025-05-08 16:26:00+0000,41680.2890625,41698.359375,41680.2890625,41698.01953125,772152
2025-05-08 16:27:00+0000,41680.16015625,41686.66015625,41678.30078125,41680.30859375,540458
2025-05-08 16:28:00+0000,41674.12890625,41682.0390625,41672.62109375,41679.98046875,610094
2025-05-08 16:29:00+0000,41671.2890625,41675.71875,41668.421875,41674.05859375,823665
2025-05-08 16:30:00+0000,41672.37109375,41680.23828125,41670.23828125,41671.30859375,634567
2025-05-08 16:31:00+0000,41678.4296875,41680.51171875,41671.640625,41672.0,494724
2025-05-08 16:32:00+0000,41688.87890625,41689.76171875,41678.33984375,41678.5,618599
2025-05-08 16:33:00+0000,41691.69921875,41691.69921875,41685.37890625,41688.69921875,646803
2025-05-08 16:34:00+0000,41681.91015625,41695.98046875,41681.8203125,41691.609375,537772
2025-05-08 16:35:00+0000,41683.48828125,41686.94921875,41680.21875,41681.578125,427188
2025-05-08 16:36:00+0000,41690.03125,41690.8984375,41682.5703125,41683.58984375,866675
2025-05-08 16:37:00+0000,41688.7109375,41690.51953125,41683.078125,41689.80078125,658585
2025-05-08 16:38:00+0000,41710.19921875,41710.421875,41688.6796875,41689.4609375,522064
2025-05-08 16:39:00+0000,41710.109375,41712.171875,41706.4609375,41710.0703125,568552
2025-05-08 16:40:00+0000,41701.44921875,41711.91015625,41701.44921875,41710.46875,753234
2025-05-08 16:41:00+0000,41707.0,41707.55859375,41701.390625,41701.390625,680457
2025-05-08 16:42:00+0000,41707.5703125,41711.23828125,41704.76171875,41707.28125,609682
2025-05-08 16:43:00+0000,41737.828125,41737.828125,41706.4296875,41707.51953125,915888
2025-05-08 16:44:00+0000,41742.4296875,41745.75,41737.0,41737.5390625,699977
2025-05-08 16:45:00+0000,41740.1015625,41742.30859375,41728.390625,41742.2890625,747297
2025-05-08 16:46:00+0000,41735.62890625,41740.30859375,41730.37890625,41739.609375,622141
2025-05-08 16:47:00+0000,41732.12109375,41735.671875,41726.8515625,41735.5703125,510224
2025-05-08 16:48:00+0000,41744.578125,41744.578125,41732.73828125,41732.73828125,691297
2025-05-08 16:49:00+0000,41751.80859375,41752.75,41741.01953125,41744.46875,665362
2025-05-08 16:50:00+0000,41753.76953125,41753.98046875,41747.6484375,41751.44140625,1219516
2025-05-08 16:51:00+0000,41768.44921875,41769.1484375,41752.46875,41753.80078125,881062
2025-05-08 16:52:00+0000,41762.55859375,41773.21875,41762.55859375,41768.2109375,713323
2025-05-08 16:53:00+0000,41761.66015625,41762.16015625,41755.26953125,41762.16015625,609556
2025-05-08 16:54:00+0000,41764.03125,41764.5,41757.828125,41761.94921875,619048
2025-05-08 16:55:00+0000,41769.328125,41771.6015625,41761.30078125,41764.078125,568781
2025-05-08 16:56:00+0000,41769.01171875,41769.69140625,41762.359375,41769.3203125,558596
2025-05-08 16:57:00+0000,41766.6796875,41770.87890625,41764.609375,41769.62890625,512263
2025-05-08 16:58:00+0000,41764.671875,41771.578125,41764.671875,41768.26953125,502954
2025-05-08 16:59:00+0000,41760.80859375,41770.609375,41757.94921875,41765.1796875,644937
2025-05-08 17:00:00+0000,41758.109375,41766.12109375,41758.03125,41761.5703125,662037
2025-05-08 17:01:00+0000,41753.05078125,41758.69140625,41750.23046875,41758.12890625,681976
2025-05-08 17:02:00+0000,41737.4296875,41756.7109375,41737.4296875,41753.26171875,733114
2025-05-08 17:03:00+0000,41736.3984375,41739.01953125,41733.859375,41735.25,494441
2025-05-08 17:04:00+0000,41726.5,41737.80078125,41726.5,41737.26171875,613895
2025-05-08 17:05:00+0000,41718.01953125,41726.62890625,41711.1484375,41726.62890625,560520
2025-05-08 17:06:00+0000,41715.69140625,41720.46875,41714.03125,41717.8515625,613028
2025-05-08 17:07:00+0000,41729.5703125,41729.66015625,41715.37109375,41715.421875,533351
2025-05-08 17:08:00+0000,41718.96875,41730.421875,41717.98828125,41729.640625,413695
2025-05-08 17:09:00+0000,41707.921875,41719.359375,41707.921875,41718.91015625,421931
2025-05-08 17:10:00+0000,41701.05078125,41708.078125,41692.859375,41707.0703125,581067
2025-05-08 17:11:00+0000,41704.76171875,41705.1484375,41691.2890625,41700.12890625,569644
2025-05-08 17:12:00+0000,41696.0703125,41704.7890625,41689.66015625,41704.51171875,583483
2025-05-08 17:13:00+0000,41702.62109375,41703.26171875,41694.62109375,41695.30859375,484832
2025-05-08 17:14:00+0000,41701.1796875,41703.8515625,41696.01171875,41703.109375,480970
2025-05-08 17:15:00+0000,41700.94921875,41707.73828125,41700.71875,41701.6484375,500520
2025-05-08 17:16:00+0000,41696.7890625,41706.828125,41693.05078125,41700.94921875,564694
2025-05-08 17:17:00+0000,41696.109375,41699.44140625,41694.6796875,41696.98046875,391027
2025-05-08 17:18:00+0000,41693.98046875,41697.19921875,41691.71875,41697.05859375,396274
2025-05-08 17:19:00+0000,41701.08984375,41701.08984375,41694.6796875,41694.6796875,427056
2025-05-08 17:20:00+0000,41681.578125,41701.37890625,41681.578125,41700.76171875,678874
2025-05-08 17:21:00+0000,41685.421875,41694.96875,41681.328125,41681.7890625,640738
2025-05-08 17:22:00+0000,41702.94140625,41702.94140625,41685.05078125,41685.21875,522020
2025-05-08 17:23:00+0000,41716.328125,41721.23046875,41702.91015625,41703.03125,731403
2025-05-08 17:24:00+0000,41723.328125,41723.328125,41715.609375,41715.609375,528854
2025-05-08 17:25:00+0000,41699.75,41723.5,41699.171875,41723.48046875,515920
2025-05-08 17:26:00+0000,41703.359375,41704.5703125,41698.5,41699.91015625,437521
2025-05-08 17:27:00+0000,41696.26171875,41703.69921875,41693.3984375,41702.98046875,617147
2025-05-08 17:28:00+0000,41706.55859375,41706.83984375,41695.73828125,41697.41015625,721687
2025-05-08 17:29:00+0000,41689.55859375,41706.53125,41685.87890625,41706.53125,609624
2025-05-08 17:30:00+0000,41693.4609375,41694.37890625,41688.01953125,41689.26171875,616226
2025-05-08 17:31:00+0000,41692.140625,41695.6796875,41687.3203125,41692.66015625,683174
2025-05-08 17:32:00+0000,41695.69140625,41699.7109375,41690.91015625,41691.6015625,494057
2025-05-08 17:33:00+0000,41667.69140625,41695.140625,41663.0,41695.140625,871940
2025-05-08 17:34:00+0000,41648.390625,41667.23046875,41648.390625,41667.05859375,944349
2025-05-08 17:35:00+0000,41642.94921875,41649.80859375,41630.73828125,41649.80859375,907666
2025-05-08 17:36:00+0000,41636.0390625,41648.46875,41633.62109375,41643.46875,583464
2025-05-08 17:37:00+0000,41650.46875,41651.01171875,41633.8515625,41635.51171875,675924
2025-05-08 17:38:00+0000,41659.25,41662.33984375,41650.58984375,41650.66015625,653958
2025-05-08 17:39:00+0000,41655.109375,41658.41015625,41646.7890625,41658.3203125,485569
2025-05-08 17:40:00+0000,41650.08984375,41657.98046875,41645.94921875,41655.078125,570340
2025-05-08 17:41:00+0000,41641.80859375,41649.890625,41641.1796875,41649.890625,497824
2025-05-08 17:42:00+0000,41642.109375,41642.71875,41632.109375,41641.62109375,953708
2025-05-08 17:43:00+0000,41652.328125,41652.78125,41642.171875,41642.171875,567605
2025-05-08 17:44:00+0000,41648.171875,41652.58984375,41644.76171875,41652.23828125,535553
2025-05-08 17:45:00+0000,41639.94921875,41651.3515625,41638.94921875,41648.0,359475
2025-05-08 17:46:00+0000,41627.30078125,41641.98828125,41627.30078125,41639.7890625,547426
2025-05-08 17:47:00+0000,41623.53125,41627.76953125,41621.30078125,41627.25,723044
2025-05-08 17:48:00+0000,41628.37109375,41628.37109375,41619.109375,41623.6796875,534524
2025-05-08 17:49:00+0000,41635.96875,41638.62109375,41628.37890625,41628.37890625,671961
2025-05-08 17:50:00+0000,41634.98828125,41635.6015625,41621.4609375,41635.1484375,692136
2025-05-08 17:51:00+0000,41637.41015625,41637.41015625,41630.01953125,41634.91015625,498568
2025-05-08 17:52:00+0000,41637.2109375,41638.5703125,41632.78125,41638.37890625,602625
2025-05-08 17:53:00+0000,41634.01953125,41639.44140625,41633.4296875,41637.12890625,599018
2025-05-08 17:54:00+0000,41633.51171875,41635.05078125,41624.6796875,41633.69140625,551736
2025-05-08 17:55:00+0000,41612.21875,41633.16015625,41611.96875,41633.16015625,625346
2025-05-08 17:56:00+0000,41589.390625,41613.5390625,41589.21875,41611.8203125,690364
2025-05-08 17:57:00+0000,41573.23046875,41591.8515625,41573.23046875,41589.578125,639842
2025-05-08 17:58:00+0000,41564.71875,41579.55078125,41564.71875,41572.1796875,853042
2025-05-08 17:59:00+0000,41563.23828125,41571.71875,41563.23828125,41567.578125,491957
2025-05-08 18:00:00+0000,41572.01171875,41572.01171875,41552.390625,41563.48046875,713696
2025-05-08 18:01:00+0000,41577.0,41579.2890625,41568.03125,41573.05078125,558893
2025-05-08 18:02:00+0000,41565.62109375,41582.98046875,41565.62109375,41576.921875,408953
2025-05-08 18:03:00+0000,41553.2890625,41571.73828125,41553.2890625,41565.3984375,598502
2025-05-08 18:04:00+0000,41560.69921875,41560.69921875,41550.55859375,41553.171875,449435
2025-05-08 18:05:00+0000,41572.23828125,41572.4296875,41561.140625,41561.2109375,477319
2025-05-08 18:06:00+0000,41573.078125,41577.078125,41569.7890625,41572.390625,556876
2025-05-08 18:07:00+0000,41587.5,41588.078125,41571.8984375,41573.03125,542584
2025-05-08 18:08:00+0000,41595.0,41597.3203125,41586.33984375,41587.01171875,605613
2025-05-08 18:09:00+0000,41604.03125,41604.26953125,41594.12890625,41595.359375,635197
2025-05-08 18:10:00+0000,41617.890625,41618.3984375,41602.828125,41603.87890625,864196
2025-05-08 18:11:00+0000,41604.44921875,41617.8515625,41597.12109375,41617.609375,743849
2025-05-08 18:12:00+0000,41614.37890625,41620.26953125,41606.41015625,41606.41015625,527934
2025-05-08 18:13:00+0000,41620.19921875,41623.3515625,41612.46875,41614.55859375,590739
2025-05-08 18:14:00+0000,41619.0390625,41625.890625,41618.75,41619.671875,514801
2025-05-08 18:15:00+0000,41626.28125,41627.33984375,41614.0,41618.6015625,540011
